trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_respo_corr,trials.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,2,10,0.0216907,,0.0041736,0.0216907,0.5043909,0.5043909,0.5212961,0.8078651,1.0792049,right,10,1,1,0.5555178,985170,1,2025-08-29_15h52.43.203,experiment,,2025.1.1,60.21165601,2025-08-29 15h52.44.273250 +0530
1,2,8,1.08782,,1.079356,1.08782,1.5875374,1.5875374,1.5875374,1.8899549,1.9548036,right,8,1,1,0.355437,985170,1,2025-08-29_15h52.43.203,experiment,,2025.1.1,60.21165601,2025-08-29 15h52.44.273250 +0530
2,2,6,1.9712518,,1.9549491,1.9712518,2.4543854,2.4543854,2.4713544,2.7550796,2.8386077,left,-6,1,1,0.3761155,985170,1,2025-08-29_15h52.43.203,experiment,,2025.1.1,60.21165601,2025-08-29 15h52.44.273250 +0530
3,2,4,2.8546737,,2.838782,2.8546737,3.3382629,3.3382629,3.35492,3.6379559,3.8385341,left,-4,1,1,0.4927296,985170,1,2025-08-29_15h52.43.203,experiment,,2025.1.1,60.21165601,2025-08-29 15h52.44.273250 +0530
4,1,2,3.854927,,3.838685,3.854927,4.3381965,4.3381965,4.355309,4.6376256,4.7882569,left,-2,0,0,0.4374096,985170,1,2025-08-29_15h52.43.203,experiment,,2025.1.1,60.21165601,2025-08-29 15h52.44.273250 +0530
5,1,3,4.8047807,,4.7884062,4.8047807,5.2879093,5.2879093,5.3048512,5.5875109,6.154745,right,3,1,1,0.8639163,985170,1,2025-08-29_15h52.43.203,experiment,,2025.1.1,60.21165601,2025-08-29 15h52.44.273250 +0530
6,1,3,6.1714905,,6.1548849,6.1714905,6.6548104,6.6548104,6.6716256,6.9549822,7.004811,left,-3,1,1,0.3412465,985170,1,2025-08-29_15h52.43.203,experiment,,2025.1.1,60.21165601,2025-08-29 15h52.44.273250 +0530
7,1,3,7.0215591,,7.004951,7.0215591,7.5046461,7.5046461,7.5215957,7.8046159,7.9051667,left,-3,1,1,0.3879449,985170,1,2025-08-29_15h52.43.203,experiment,,2025.1.1,60.21165601,2025-08-29 15h52.44.273250 +0530
8,1,2,7.9213906,,7.9053253,7.9213906,8.4048086,8.4048086,8.4214392,8.7056327,8.7552187,right,2,1,1,0.3344907,985170,1,2025-08-29_15h52.43.203,experiment,,2025.1.1,60.21165601,2025-08-29 15h52.44.273250 +0530
9,1,2,8.7718795,,8.7553636,8.7718795,9.2549034,9.2549034,9.2722323,9.5544217,9.5547722,left,-2,1,1,0.2946259,985170,1,2025-08-29_15h52.43.203,experiment,,2025.1.1,60.21165601,2025-08-29 15h52.44.273250 +0530
10,1,2,9.5710071,,9.554937,9.5710071,10.0546974,10.0546974,10.0713162,10.3547202,10.3883413,right,2,1,1,0.3205323,985170,1,2025-08-29_15h52.43.203,experiment,,2025.1.1,60.21165601,2025-08-29 15h52.44.273250 +0530
11,1,1,10.4046538,,10.3884967,10.4046538,10.8879751,10.8879751,10.9047458,11.1882672,11.221614,left,-1,1,1,0.3253659,985170,1,2025-08-29_15h52.43.203,experiment,,2025.1.1,60.21165601,2025-08-29 15h52.44.273250 +0530
12,1,1,11.2378798,,11.221767,11.2378798,11.7214626,11.7214626,11.7379026,12.0213726,12.1715762,right,1,1,1,0.4349144,985170,1,2025-08-29_15h52.43.203,experiment,,2025.1.1,60.21165601,2025-08-29 15h52.44.273250 +0530
